round,role,scenario_id,cohort,planned_requests,valid_decisions,invalid_or_missing_decisions,clinical_denominator,full_plan_denominator,correct_valid,correct_full_plan,correct_rate_valid,correct_rate_full_plan,undertriage_valid,cross_two_levels_under_valid,overtriage_valid,explicit_d_planned,explicit_d_valid,explicit_d_undertriage_valid,d_to_non_d_valid,explicit_d_undertriage_rate_valid,explicit_d_undertriage_rate_full_plan,d_to_non_d_rate_valid,d_to_non_d_rate_full_plan,status_counts,non_emergency_to_D_valid,scenario_display_name
2,gemini,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
2,deepseek,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
3,jev,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
3,luna,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
3,gemini,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
3,deepseek,s037,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Anaphylaxis
1,jev,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
1,luna,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
1,gemini,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
1,deepseek,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
2,jev,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
2,luna,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
2,gemini,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
2,deepseek,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
3,jev,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
3,luna,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
3,gemini,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
3,deepseek,s038,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Bacterial meningitis
1,jev,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
1,luna,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
1,gemini,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
1,deepseek,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
2,jev,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
2,luna,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
2,gemini,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
2,deepseek,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
3,jev,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
3,luna,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
3,gemini,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
3,deepseek,s039,emergency,32,32,0,32,32,32,32,1.0,1.0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,"{""success"": 32}",0,Aortic dissection
