role,three_round_mean_pp,round_min_pp,round_max_pp,valid_pairs_by_round,selected_pairs_by_round
jev,6.100171618458794,5.708245243128964,6.512605042016808,473/477/476,480/480/480
luna,11.597222222222223,10.208333333333334,13.333333333333334,480/480/480,480/480/480
gemini,7.361111111111112,6.458333333333334,7.916666666666666,480/480/480,480/480/480
deepseek,5.421740895383902,3.75,7.306889352818372,479/480/480,480/480/480
