factor,factor_label,role,mean_changed_pct,round_min_pct,round_max_pct
anchor_type,Anchoring,jev,19.28771983039851,18.658280922431867,20.507399577167018
anchor_type,Anchoring,luna,20.138888888888886,19.375,20.833333333333332
anchor_type,Anchoring,gemini,24.722222222222218,23.958333333333332,25.625
anchor_type,Anchoring,deepseek,29.53317095801438,27.76617954070981,30.833333333333332
barrier_type,Access barrier,jev,11.356604417931626,9.936575052854122,12.578616352201259
barrier_type,Access barrier,luna,15.277777777777779,13.75,16.875
barrier_type,Access barrier,gemini,13.472222222222223,12.708333333333334,14.375
barrier_type,Access barrier,deepseek,24.808629088378567,24.4258872651357,25.208333333333332
gender,Gender wording,jev,5.0467891936028115,4.2283298097251585,5.870020964360587
gender,Gender wording,luna,10.972222222222221,10.0,11.875
gender,Gender wording,gemini,10.416666666666666,10.208333333333334,10.625
gender,Gender wording,deepseek,22.791695662259333,20.041753653444676,25.0
race,Explicit Black wording,jev,5.329558703071338,4.612159329140461,6.302521008403361
race,Explicit Black wording,luna,12.916666666666666,11.875,13.958333333333334
race,Explicit Black wording,gemini,10.416666666666666,8.333333333333334,11.875
race,Explicit Black wording,deepseek,23.139642774298306,21.085594989561585,27.083333333333332
