round,difference_pp,ci_lower_pp,ci_upper_pp,scenarios,planned_pairs
1,10.833333333333334,2.9166666666666665,19.791666666666664,15,480
2,10.416666666666668,2.2916666666666665,19.583333333333332,15,480
3,9.166666666666666,1.0416666666666665,17.916666666666668,15,480
