cell_id,concurrency,measured_requests,order,role,warmup_requests,wave,planned,valid_outputs,failed,effective_outputs_per_second,measured_walltime_s,known_usd,unknown_requests,cost_status_counts,valid_http_p50_ms,valid_http_p95_ms,all_attempt_http_p50_ms,all_attempt_http_p95_ms,admission_wait_p50_ms,admission_wait_p95_ms,known_usd_per_1000_planned,peak_http_inflight,started_at,ended_at,failure_percent
w1_deepseek_c32,32,200,19,deepseek,5,1,200,200,0,23.624465496468144,8.4658,0.0238317,0,{'estimated_upper_peak_uncached': 200},1064.4735,1851.0363999999997,1064.4735,1851.0363999999997,0.001,0.001,0.1191585,32,2026-09-23T02:07:17.133345+00:00,2026-09-23T02:07:25.599423+00:00,0.0
w2_gemini_c4,4,200,20,gemini,5,2,200,200,0,4.676610512421826,42.766016,0.02174675,0,{'provider_reported': 200},770.0475,986.2425499999993,770.0475,986.2425499999993,0.001,0.002,0.10873375,4,2026-09-23T02:07:30.271749+00:00,2026-09-23T02:08:13.038513+00:00,0.0
w2_luna_c4,4,200,21,luna,5,2,200,200,0,2.814376199495931,71.063705,0.0175386,0,{'provider_reported': 200},1324.8020000000001,1779.0643,1324.8020000000001,1779.0643,0.001,0.002,0.087693,4,2026-09-23T02:08:20.259128+00:00,2026-09-23T02:09:31.323822+00:00,0.0
w2_jev_c16,16,200,22,jev,5,2,200,200,0,15.939408569838958,12.547517,0.005833464,0,{'provider_reported': 200},392.82550000000003,1104.93625,392.82550000000003,1104.93625,522.337,598.9367,0.02916732,14,2026-09-23T02:09:33.719477+00:00,2026-09-23T02:09:46.267344+00:00,0.0
w2_gemini_c8,8,200,23,gemini,5,2,200,200,0,9.592366164789272,20.849913,0.02177075,0,{'provider_reported': 200},756.36,903.26245,756.36,903.26245,0.001,0.002,0.10885375,8,2026-09-23T02:09:50.375425+00:00,2026-09-23T02:10:11.225814+00:00,0.0
w2_luna_c16,16,200,24,luna,5,2,200,200,0,9.545963432086962,20.951264,0.0175386,0,{'provider_reported': 200},1439.688,2549.1168999999995,1439.688,2549.1168999999995,0.001,0.002,0.087693,16,2026-09-23T02:10:18.445083+00:00,2026-09-23T02:10:39.396738+00:00,0.0
w2_jev_c32,32,200,25,jev,5,2,200,199,1,15.802904272041202,12.592621999999999,0.005833464,0,{'provider_reported': 200},425.61,716.8933,424.993,716.0331499999998,1375.574,1530.35815,0.02916732,13,2026-09-23T02:10:41.722871+00:00,2026-09-23T02:10:54.315846+00:00,0.5
w2_jev_c8,8,200,26,jev,5,2,200,200,0,14.972339351664766,13.357966000000001,0.005833464,0,{'provider_reported': 200},424.353,562.5851499999997,424.353,562.5851499999997,48.238,117.91874999999985,0.02916732,8,2026-09-23T02:10:56.929479+00:00,2026-09-23T02:11:10.287712+00:00,0.0
w2_luna_c32,32,200,27,luna,5,2,200,200,0,17.412053459183014,11.486296,0.0175386,0,{'provider_reported': 200},1409.4735,2287.674249999999,1409.4735,2287.674249999999,0.001,0.001,0.087693,32,2026-09-23T02:11:17.674619+00:00,2026-09-23T02:11:29.161271+00:00,0.0
w2_gemini_c16,16,200,28,gemini,5,2,200,200,0,17.644109143636108,11.335227999999999,0.02179625,0,{'provider_reported': 200},734.847,1425.6433999999992,734.847,1425.6433999999992,0.001,0.001,0.10898125,16,2026-09-23T02:11:33.561987+00:00,2026-09-23T02:11:44.897543+00:00,0.0
w2_jev_c4,4,200,29,jev,5,2,200,199,1,8.05495698814877,24.705284,0.005833464,0,{'provider_reported': 200},418.857,555.357,417.956,554.8494999999998,0.033,63.2675,0.02916732,4,2026-09-23T02:11:47.233670+00:00,2026-09-23T02:12:11.939453+00:00,0.5
w2_deepseek_c8,8,200,30,deepseek,5,2,200,200,0,7.021241220639978,28.484992,0.0244179,0,{'estimated_upper_peak_uncached': 200},1054.941,1358.9110999999994,1054.941,1358.9110999999994,0.001,0.002,0.1220895,8,2026-09-23T02:12:18.199061+00:00,2026-09-23T02:12:46.684984+00:00,0.0
w2_deepseek_c1,1,200,31,deepseek,5,2,200,200,0,0.8986660277870142,222.552087,0.0244179,0,{'estimated_upper_peak_uncached': 200},1052.2365,1314.52665,1052.2365,1314.52665,0.001,0.003,0.1220895,1,2026-09-23T02:12:52.428608+00:00,2026-09-23T02:16:34.983330+00:00,0.0
w2_gemini_c32,32,200,32,gemini,5,2,200,200,0,29.38077231179522,6.807173,0.02174225,0,{'provider_reported': 200},751.56,1605.1597499999998,751.56,1605.1597499999998,0.001,0.001,0.10871125,32,2026-09-23T02:16:39.826146+00:00,2026-09-23T02:16:46.633637+00:00,0.0
w2_gemini_c1,1,200,33,gemini,5,2,200,200,0,1.2448382780799414,160.66344,0.02180225,0,{'provider_reported': 200},731.952,980.90055,731.952,980.90055,0.001,0.002,0.10901125,1,2026-09-23T02:16:50.552019+00:00,2026-09-23T02:19:31.217432+00:00,0.0
w2_deepseek_c4,4,200,34,deepseek,5,2,200,200,0,3.7974970279364197,52.666269,0.0244179,0,{'estimated_upper_peak_uncached': 200},984.891,1236.54375,984.891,1236.54375,0.001,0.002,0.1220895,4,2026-09-23T02:19:37.241541+00:00,2026-09-23T02:20:29.908644+00:00,0.0
w2_deepseek_c16,16,200,35,deepseek,5,2,200,200,0,13.388835411648783,14.937819,0.0244179,0,{'estimated_upper_peak_uncached': 200},1023.005,1800.5089,1023.005,1800.5089,0.001,0.001,0.1220895,16,2026-09-23T02:20:35.531201+00:00,2026-09-23T02:20:50.469401+00:00,0.0
