role,mask,three_round_mean_pp,round_min_pp,round_max_pp,valid_pairs_by_round,selected_pairs_by_round
jev,all,6.100171618458794,5.708245243128964,6.512605042016808,473/477/476,480/480/480
jev,exclude_ai_flags,3.9104162495677337,3.592814371257485,4.491017964071856,329/334/334,336/336/336
luna,all,11.597222222222223,10.208333333333334,13.333333333333334,480/480/480,480/480/480
luna,exclude_ai_flags,6.646825396825396,4.761904761904762,7.738095238095238,336/336/336,336/336/336
gemini,all,7.361111111111112,6.458333333333334,7.916666666666666,480/480/480,480/480/480
gemini,exclude_ai_flags,5.4563492063492065,4.761904761904762,5.952380952380952,336/336/336,336/336/336
deepseek,all,5.421740895383902,3.75,7.306889352818372,479/480/480,480/480/480
deepseek,exclude_ai_flags,2.4851930822080077,0.8928571428571428,5.074626865671641,335/336/336,336/336/336
