accuracy,bin,count,lower,mean_confidence,upper
,0,0,0.0,,0.1
,1,0,0.1,,0.2
,2,0,0.2,,0.3
0.25,3,8,0.3,0.3675,0.4
0.2,4,20,0.4,0.4585,0.5
0.5,5,58,0.5,0.5441379310344828,0.6
0.4406779661016949,6,59,0.6,0.6416949152542373,0.7
0.7377049180327869,7,61,0.7,0.7470491803278688,0.8
0.8728813559322034,8,118,0.8,0.8468644067796609,0.9
0.9473684210526315,9,152,0.9,0.9554605263157894,1.0
